subject	section	front	back
Number Sense	Multiplying by 25 Trick	$148 \times 25 =$	3700
Number Sense	Multiplying by 25 Trick	$25 \times 33 =$	825
Number Sense	Multiplying by 25 Trick	$64 \div 25 =$	2.56
Number Sense	Multiplying by 25 Trick	$25 \times 147 =$	3675
Number Sense	Multiplying by 25 Trick	$418 \times 25 =$	10450
Number Sense	Multiplying by 25 Trick	$616 \div 25 =$	24.64
Number Sense	Multiplying by 25 Trick	$2.5 \times 40.4 =$	101
Number Sense	Multiplying by 25 Trick	$1.1 \div 2.5 =$	.44
Number Sense	Multiplying by 25 Trick	$3232 \times 25 =$	80800
Number Sense	Multiplying by 25 Trick	(*) $97531 \div 246 =$	**397**<br>376−417
Number Sense	Multiplying by 25 Trick	$209 \times 25 =$	5225
Number Sense	Multiplying by 25 Trick	$(18 + 16)(9 + 16) =$	850
Number Sense	Multiplying by 25 Trick	(*) $334455 \div 251 =$	**1333**<br>1265−1400
Number Sense	Multiplying by 25 Trick	21.4 is ___% of 25	85.6%
Number Sense	Multiplying by 25 Trick	$404 \div 25 =$	16.16
Number Sense	Multiplying by 25 Trick	$303 \times 25 =$	7575
Number Sense	Multiplying by 25 Trick	32 is $2\frac{1}{2}$% of:	1280
Number Sense	Multiplying by 25 Trick	(*) $47985 \div 246 =$	**195**<br>185−205
Number Sense	Multiplying by 25 Trick	$25 \times 2003 =$	50075
Number Sense	Multiplying by 25 Trick	$15 \times 25 \times 11 =$	4125
Number Sense	Multiplying by 25 Trick	$11 \times 24 \times 25 =$	6600
Number Sense	Multiplying by 25 Trick	$11 \times 18 \times 25 =$	4950
Number Sense	Multiplying by 25 Trick	(*) $248 \times 250 \times 252 =$	**15624000**<br>14842800−16405200
Number Sense	Multiplying by 75 Trick	$48 \times 75 =$	3600
Number Sense	Multiplying by 75 Trick	$64 \times 75 =$	4800
Number Sense	Multiplying by 75 Trick	$66 \div 75 =$	.88
Number Sense	Multiplying by 75 Trick	$84 \times 75 =$	6300
Number Sense	Multiplying by 75 Trick	(*) $443322 \div 751 =$	**590**<br>560−620
Number Sense	Multiplying by 75 Trick	$28 \times 75 =$	2100
Number Sense	Multiplying by 75 Trick	$75 \times 24 =$	1800
Number Sense	Multiplying by 75 Trick	(*) $7532 \times 1468 =$	**11056976**<br>10504127−11609825
Number Sense	Multiplying by 75 Trick	$48 \div 75 =$	.64
Number Sense	Multiplying by 75 Trick	(*) $566472 \div 748 =$	**758**<br>719−796
Number Sense	Multiplying by 75 Trick	$96 \div 75 =$	1.28
Number Sense	Multiplying by 75 Trick	$75 \times 11 \times 24 =$	19800
Number Sense	Multiplying by 75 Trick	$4800 \div 75 =$	64
Number Sense	Multiplying by 75 Trick	$75 \times 48 \times 15 =$	54000
Number Sense	Multiplying by 75 Trick	$8.8 \times 7.5 \times 1.1 =$	72.6
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$125 \times 320 =$	40000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $8333 \times 24 =$	**199992**<br>189992−209992
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$138 \div 125 =$	1.104
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $57381 \div 128 =$	**448**<br>425−471
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $245632 \div 111 =$	**2213**<br>2102−2324
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $16667 \div 8333 \times 555 =$	**1110**<br>1054−1166
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$625 \times 320 =$	200000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $774447 \div 111 =$	**6977**<br>6628−7326
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $62.5 \times 3248 =$	**203000**<br>192850−213150
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$12.5 \times 480 =$	6000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $17304 \div 118 =$	**147**<br>139−154
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) 87% of 5590 =	**4864**<br>4620−5107
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $457689 \div 111 =$	**4124**<br>3917−4330
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $625 \times 648 =$	**405000**<br>384750−425250
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$375 \times 408 =$	153000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $359954 \div 1111 =$	**324**<br>307−341
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$88 \times 12.5 \times .11 =$	121
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $719 \times 875 =$	**629125**<br>597668−660582
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $428571 \times 22 =$	**9428562**<br>8957133−9899991
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $85714.2 \div 714.285 =$	**120**<br>114−126
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$488 \times 375 =$	183000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $6311 \times 1241 =$	**7831951**<br>7440353−8223549
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $884422 \div 666 =$	**1328**<br>1261−1395
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) 106.25% of 640 =	**680**<br>646−714
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $6388 \times 3.75 =$	**23955**<br>22757−25153
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$240 \times 875 =$	210000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $12.75 \times 28300 \div 102 =$	**3538**<br>3360−3715
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$375 \times 24.8 =$	9300
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$.0625 \times .32 =$	.02
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $16667 \times 369 =$	**6150123**<br>5842616−6457630
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $918576 \div 432 =$	**2127**<br>2020−2233
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $456789 \div 123 =$	**3714**<br>3528−3900
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) 106% of 319 =	**339**<br>321−356
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $571428 \times .875 =$	**500000**<br>474999−525000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) 123% of 882 =	**1085**<br>1030−1140
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $95634 \div 278 =$	**344**<br>326−362
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $273849 \div 165 =$	**1660**<br>1576−1743
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $5714.28 \times 85 =$	**485714**<br>461428−510000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) 9.08% of 443322 =	**40254**<br>38240−42267
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $8333 \times 23 =$	**191659**<br>182076−201242
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$.125 \times 482 =$	60.25
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $714285 \times .875 =$	**625000**<br>593749−656250
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) 87% of 789 =	**687**<br>652−721
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $16667 \times 49 =$	**816683**<br>775848−857518
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $123456 \div 111 =$	**1112**<br>1056−1168
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $875421 \div 369 =$	**2373**<br>2253−2492
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $71984 \times 1.371 =$	**98690**<br>93755−103625
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) 63% of 7191 =	**4530**<br>4303−4757
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $5714.28 \times 83 =$	**474285**<br>450570−498000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $1428.57 \times 62 =$	**88571**<br>84142−93000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $80520 \div 131 =$	**615**<br>583−646
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $142.857 \times 428.571 =$	**61225**<br>58163−64286
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $12509 \times 635 =$	**7943215**<br>7546054−8340376
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $1234 \times 567 =$	**699678**<br>664694−734662
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $789123 \div 456 =$	**1731**<br>1644−1818
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	$625 \times 65 =$	40625
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $1428.57 \times 73 =$	**104286**<br>99071−109500
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $7142.85 \times 34.2 =$	**244286**<br>232071−256500
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $333 \times 808 \times 444 =$	**119464416**<br>113491195−125437637
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $571428 \times 34 =$	**19428552**<br>18457124−20399980
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $833 \times 612 =$	**509796**<br>484306−535286
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $8333 \times (481 + 358) =$	**6991387**<br>6641817−7340957
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $234678 \div 9111 =$	**26**<br>24−28
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $428.571 \times 87.5 =$	**37500**<br>35624−39375
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $375.1 \times 83.33 \times 1.595 =$	**49855**<br>47362−52348
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $8333 \div 6666 \times 4444 =$	**5556**<br>5277−5834
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $8333 \times 12.5\% \times .12 =$	**125**<br>118−132
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $639 \times 375 \div 28 =$	**8558**<br>8130−8986
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $6250 \div 8333 \times 8888 =$	**6666**<br>6332−7000
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $416666 \div 555 \times 76 =$	**57057**<br>54204−59910
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $375 \div 833 \times 555 =$	**250**<br>237−263
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $857142 \div 428571 \times 7777 =$	**15554**<br>14776−16332
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $54.5454 \times 66.6 \times 58 =$	**210698**<br>200163−221233
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $62.5 \div 83.3 \times 888 =$	**666**<br>632−700
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $1250 \div 1666 \times 4444 =$	**3335**<br>3167−3502
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $85858 \div 585 =$	**147**<br>139−155
Number Sense	Multiplying by Any Fraction of 100, 1000, etc.	(*) $(51597 \div 147)^2 =$	**123201**<br>117040−129362
Number Sense	Double and Half Trick	$1.5 \times 5.2 =$	7.8
Number Sense	Double and Half Trick	$4.8 \times 15 =$	72
Number Sense	Double and Half Trick	$64 \times 1.5 =$	96
Number Sense	Double and Half Trick	$15 \times 48 =$	720
Number Sense	Double and Half Trick	$14 \times 203 =$	2842
Number Sense	Double and Half Trick	$14 \times 312 =$	4368
Number Sense	Double and Half Trick	$24 \times 35 =$	840
Number Sense	Double and Half Trick	$312 \times 14 =$	4368
Number Sense	Double and Half Trick	A rectangle has length 2.4 and width 1.5. Its area is:	3.6
Number Sense	Double and Half Trick	$18 \times 112 =$	2016
Number Sense	Double and Half Trick	$27 \times 14 =$	378
Number Sense	Double and Half Trick	$21 \times 15 \times 14 =$	4410
Number Sense	Double and Half Trick	$33.75 = 1.5 \times$	22.5
Number Sense	Double and Half Trick	$345 \times 12 =$	4140
Number Sense	Double and Half Trick	$1.2 \times 1.25 =$	1.5
Number Sense	Double and Half Trick	24% of 44 =	10.56
Number Sense	Double and Half Trick	$14 \times 25 + 12.5 \times 28 =$	700
Number Sense	Multiplying Two Numbers Near 100	$89 \times 97 =$	8633
Number Sense	Multiplying Two Numbers Near 100	$96 \times 97 =$	9312
Number Sense	Multiplying Two Numbers Near 100	$103 \times 109 =$	11227
Number Sense	Multiplying Two Numbers Near 100	$93 \times 97 =$	9021
Number Sense	Multiplying Two Numbers Near 100	$103 \times 107 =$	11021
Number Sense	Multiplying Two Numbers Near 100	$93 \times 89 =$	8277
Number Sense	Multiplying Two Numbers Near 100	$102 \times 108 =$	11016
Number Sense	Multiplying Two Numbers Near 100	$109 \times 107 =$	11663
Number Sense	Multiplying Two Numbers Near 100	$96 \times 89 =$	8544
Number Sense	Multiplying Two Numbers Near 100	$92 \times 97 =$	8924
Number Sense	Multiplying Two Numbers Near 100	$103 \times 104 =$	10712
Number Sense	Multiplying Two Numbers Near 100	$102 \times 103 =$	10506
Number Sense	Multiplying Two Numbers Near 100	$92 \times 93 =$	8556
Number Sense	Multiplying Two Numbers Near 100	$106 \times 107 =$	11342
Number Sense	Multiplying Two Numbers Near 100	$97 \times 89 =$	8633
Number Sense	Multiplying Two Numbers Near 100	$94 \times 98 =$	9212
Number Sense	Multiplying Two Numbers Near 100	$94 \times 91 =$	8554
Number Sense	Multiplying Two Numbers Near 100	$91 \times 98 =$	8918
Number Sense	Multiplying Two Numbers Near 100	$993 \times 994 =$	987042
Number Sense	Multiplying Two Numbers Near 100	$103 \times 96 =$	9888
Number Sense	Multiplying Two Numbers Near 100	$93 \times 103 =$	9579
Number Sense	Multiplying Two Numbers Near 100	$991 \times 989 =$	980099
Number Sense	Multiplying Two Numbers Near 100	$1009 \times 1004 =$	1013036
Number Sense	Multiplying Two Numbers Near 100	$97 \times 107 =$	10379
Number Sense	Multiplying Two Numbers Near 100	$93 \times 104 =$	9672
Number Sense	Multiplying Two Numbers Near 100	$96 \times 103 =$	9888
Number Sense	Multiplying Two Numbers Near 100	$991^2 =$	982081
Number Sense	Multiplying Two Numbers Near 100	$104 \times 97 =$	10088
Number Sense	Multiplying Two Numbers Near 100	$1003 \times 1008 =$	1011024
Number Sense	Multiplying Two Numbers Near 100	(*) $98^2 + 97^2 =$	**18963**<br>18062−19964
Number Sense	Multiplying Two Numbers Near 100	$19^2 \times 3^2 \times 2^2 =$	12996
Number Sense	Squares Ending in 5 Trick	25% of 25 =	6.25
Number Sense	Squares Ending in 5 Trick	$.35 \times 3.5 =$	1.225
Number Sense	Squares Ending in 5 Trick	$12^2 + 2 \times 12 \times 13 + 13^2 =$	625
Number Sense	Squares Ending in 5 Trick	$115^2 =$	13225
Number Sense	Squares Ending in 5 Trick	$f(x) = 9x^2 - 12x + 4,\ f(19) =$	3025
Number Sense	Squares Ending in 5 Trick	45% of 45 $-$ 45 =	-24.75
Number Sense	Squares Ending in 5 Trick	(*) $12^4 =$	**20736**<br>19699−21773
Number Sense	Squares Ending in 5 Trick	$505 \times 505 =$	255025
Number Sense	Squares Ending in 5 Trick	A square has an area of 12.25 sq. cm. Its perimeter is:	14
Number Sense	Squares from 41-59	$58^2 =$	3364
Number Sense	Squares from 41-59	$510^2 =$	260100
Number Sense	Squares from 41-59	$47 \times 47 =$	2209
Number Sense	Squares from 41-59	$53^2 =$	2809
Number Sense	Squares from 41-59	(*) $48 \times 49 \times 50 =$	**117600**<br>111720−123480
Number Sense	Squares from 41-59	$56^2 =$	3136
Number Sense	Squares from 41-59	$59 \times 59 =$	3481
Number Sense	Squares from 41-59	$41^2 =$	1681
Number Sense	Multiplying Two Numbers Equidistant from a Third	$84 \times 86 =$	7224
Number Sense	Multiplying Two Numbers Equidistant from a Third	$53 \times 57 =$	3021
Number Sense	Multiplying Two Numbers Equidistant from a Third	$48 \times 52 =$	2496
Number Sense	Multiplying Two Numbers Equidistant from a Third	$62 \times 58 =$	3596
Number Sense	Multiplying Two Numbers Equidistant from a Third	$6.8 \times 7.2 =$	48.96
Number Sense	Multiplying Two Numbers Equidistant from a Third	$88 \times 82 =$	7216
Number Sense	Multiplying Two Numbers Equidistant from a Third	$36 \times 24 =$	864
Number Sense	Multiplying Two Numbers Equidistant from a Third	$7.6 \times 8.4 =$	63.84
Number Sense	Multiplying Two Numbers Equidistant from a Third	$5.3 \times 4.7 =$	24.91
Number Sense	Multiplying Two Numbers Equidistant from a Third	$51 \times 59 + 16 =$	3025
Number Sense	Multiplying Two Numbers Equidistant from a Third	$96 \times 104 =$	9984
Number Sense	Multiplying Two Numbers Equidistant from a Third	$81 \times 89 + 16 =$	7225
Number Sense	Multiplying Two Numbers Equidistant from a Third	$34 \times 36 + 1 =$	1225
Number Sense	Multiplying Two Numbers Equidistant from a Third	$73 \times 77 + 4 =$	5625
Number Sense	Multiplying Two Numbers Equidistant from a Third	$62 \times 68 + 9 =$	4225
Number Sense	Multiplying Two Numbers Equidistant from a Third	$32 \times 38 + 9 =$	1225
Number Sense	Multiplying Two Numbers Equidistant from a Third	$18 \times 24 + 9 =$	441
Number Sense	Multiplying Two Numbers Equidistant from a Third	$61 \times 69 + 16 =$	4225
Number Sense	Multiplying Two Numbers Equidistant from a Third	$43 \times 47 + 4 =$	2025
Number Sense	Multiplying Two Numbers Equidistant from a Third	$88 \times 82 + 9 =$	7225
Number Sense	Multiplying Two Numbers Equidistant from a Third	$57 \times 53 + 4 =$	3025
Number Sense	Multiplying Two Numbers Equidistant from a Third	$38 \times 28 =$	1064
Number Sense	Multiplying Two Numbers Equidistant from a Third	$41 \times 49 - 9 =$	2000
Number Sense	Multiplying Two Numbers Equidistant from a Third	$77 \times 73 + 4 =$	5625
Number Sense	Multiplying Two Numbers Equidistant from a Third	$65 \times 75 - 33 =$	4842
Number Sense	Multiplying Two Numbers Equidistant from a Third	$33 \times 27 + 9 =$	900
Number Sense	Multiplying Two Numbers Equidistant from a Third	$71 \times 79 + 16 =$	5625
Number Sense	Multiplying Two Numbers Equidistant from a Third	$72 \times 78 + 9 =$	5625
Number Sense	Multiplying Two Numbers Equidistant from a Third	$53 \times 57 + 4 =$	3025
Number Sense	Multiplying Two Numbers Equidistant from a Third	$105 \times 95 =$	9975
Number Sense	Multiplying Two Numbers Equidistant from a Third	$62 \times 68 - 16 =$	4200
Number Sense	Multiplying Two Numbers Equidistant from a Third	$36 \times 26 =$	936
Number Sense	Multiplying Two Numbers Equidistant from a Third	$83 \times 87 - 21 =$	7200
Number Sense	Multiplying Two Numbers Equidistant from a Third	$23 \times 27 + 4 =$	625
Number Sense	Multiplying Two Numbers Equidistant from a Third	$29 \times 37 =$	1073
Number Sense	Multiplying Two Numbers Equidistant from a Third	$21 - 83 \times 87 =$	-7200
Number Sense	Multiplying Two Numbers Equidistant from a Third	$112 \times 88 =$	9856
Number Sense	Multiplying Two Numbers Equidistant from a Third	(*) $52 \times 48 + 49 \times 51 =$	**4995**<br>4745−5245
Number Sense	Multiplying Two Numbers Equidistant from a Third	(*) $4.93 \times 3.33 =$	**16.4**<br>15.6−17.2
Number Sense	Multiplying Two Numbers Equidistant from a Third	(*) $72 \times 68 + 71 \times 69 =$	**9795**<br>9305−10285
Number Sense	Multiplying Two Numbers Equidistant from a Third	(*) $42 \times 38 + 41 \times 39 =$	**3195**<br>3035−3355
Number Sense	Multiplying Two Numbers Equidistant from a Third	(*) $4000 + 322 \times 318 =$	**106396**<br>101076−111716
Number Sense	Multiplying Two Numbers Equidistant from a Third	$118 \times 122 + 4 =$	14400
Number Sense	Multiplying Two Numbers Equidistant from a Third	(*) $5.13 \times 7.93 =$	**40.7**<br>38.7−42.7
Number Sense	Multiplying Two Numbers Equidistant from a Third	(*) $34 \times 36 \times 34 \times 36 =$	**1498176**<br>1423267−1573085
Number Sense	Multiplying Reverses	$43 \times 34 =$	1462
Number Sense	Multiplying Reverses	$23 \times 32 =$	736
Number Sense	Multiplying Reverses	$31 \times 13 =$	403
Number Sense	Multiplying Reverses	$21 \times 12 =$	252
Number Sense	Multiplying Reverses	$27 \times 72 =$	1944
Number Sense	Multiplying Reverses	$61 \times 16 =$	976
Number Sense	Multiplying Reverses	$15 \times 51 =$	765
Number Sense	Multiplying Reverses	$14 \times 41 =$	574
Number Sense	Multiplying Reverses	$18 \times 81 =$	1458
Number Sense	Multiplying Reverses	$36 \times 63 =$	2268
Number Sense	Multiplying Reverses	$42 \times 24 =$	1008
Number Sense	Multiplying Reverses	$26 \times 62 =$	1612
Number Sense	Extending Foiling	$202^2 =$	40804
Number Sense	Extending Foiling	$406^2 =$	164836
Number Sense	Extending Foiling	$503^2 =$	253009
Number Sense	Extending Foiling	$607^2 =$	368449
Number Sense	Extending Foiling	$208^2 =$	43264
Number Sense	Extending Foiling	$306^2 =$	93636
Number Sense	Extending Foiling	$509^2 =$	259081
Number Sense	Extending Foiling	$804^2 =$	646416
Number Sense	Extending Foiling	$704^2 =$	495616
Number Sense	Extending Foiling	$408^2 =$	166464
Number Sense	Extending Foiling	$602^2 =$	362404
Number Sense	Extending Foiling	$303^2 =$	91809
Number Sense	Extending Foiling	$909^2 =$	826281
Number Sense	Extending Foiling	$402^2 =$	161604
Number Sense	Extending Foiling	$707^2 =$	499849
Number Sense	Extending Foiling	$301 \times 113 =$	34013
Number Sense	Extending Foiling	$803^2 =$	644809
Number Sense	Extending Foiling	$404^2 =$	163216
Number Sense	Extending Foiling	$512^2 =$	262144
Number Sense	Extending Foiling	$122 \times 311 =$	37942
Number Sense	Extending Foiling	$612^2 =$	374544
Number Sense	Extending Foiling	$321 \times 302 =$	96942
Number Sense	Extending Foiling	$714^2 =$	509796
Number Sense	Extending Foiling	$234 \times 211 =$	49374
Number Sense	Extending Foiling	$112 \times 211 =$	23632
Number Sense	Extending Foiling	$214 \times 314 =$	67196
Number Sense	Extending Foiling	$203 \times 123 =$	24969
Number Sense	Extending Foiling	$121 \times 411 =$	49731
Number Sense	Extending Foiling	$412 \times 112 =$	46144
Number Sense	Extending Foiling	$505 \times 404 =$	204020
Number Sense	Extending Foiling	$311 \times 113 =$	35143
Number Sense	Extending Foiling	$124 \times 121 =$	15004
Number Sense	Extending Foiling	$918^2 =$	842724
