subject	section	front	back
Mathematics	Calculus	Find the total area in square units bounded by $f(x) = x^3$, $x = -2$, and $x = 1$ (counting area as positive on both sides of the x-axis).	4.25 sq units ($\int_{-2}^{0}(-x^3)\,dx + \int_{0}^{1} x^3\,dx = 4 + 0.25$)
Mathematics	Algebra 2	Find the 20th term of the sequence: $3,\ 8,\ 15,\ 24,\ 35,\ 48,\ \ldots$	440 (general term $a_n = n^2 + 2n$, so $a_{20} = 400 + 40 = 440$)
Mathematics	Statistics	A box contains 6 white, 4 pink, and 2 blue golf balls. Three are drawn without replacement. What are the odds (expressed as a percent) that all three are the same color? (nearest whole percent)	12% (favorable outcomes: $\binom{6}{3}+\binom{4}{3}=24$; unfavorable: $196$; odds $= 24/196 \approx 12\%$)
Mathematics	Algebra 1	An electric company charges a $\$10.50$ monthly base fee, $8¢$ per kWh, and a $\$25.00$ credit for usage over 1200 kWh. What is the bill before taxes for 1450 kWh?	$\$101.50$ ($\$10.50 + 1450 \times \$0.08 - \$25.00$)
Mathematics	Algebra 1	Two billion three hundred four million five thousand sixty-seven is added to twenty-three million four hundred fifty-two thousand six hundred seven. Which digit appears most often in the sum?	7 (the sum is 2,327,457,674; digit 7 appears three times)
Mathematics	Geometry	Triangle PQR has base 40 cm and height 60 cm. Triangle ICU is formed by reducing the base by 25% and increasing the height by 20%. The area of ICU is what percent of the area of PQR?	90% (ICU area $= \tfrac{1}{2}(30)(72) = 1080$; PQR area $= 1200$; $1080/1200 = 90\%$)
Mathematics	Algebra 2	PurtyDurty detergent is 20% bleach; WishyWashy is 45% bleach. What percent of a mixture should be PurtyDurty to achieve a 35% bleach mixture?	40% ($0.20p + 0.45(1-p) = 0.35 \Rightarrow p = 0.40$)
Mathematics	Pre-Calc	A circle is centered at the origin with radius 3. Starting at $(-3, 0)$, you travel $\dfrac{8\pi}{3}$ radians clockwise. In which quadrant do you stop?	Quadrant I (starting angle $\pi$; subtract $\frac{8\pi}{3}$: $\pi - \frac{8\pi}{3} = -\frac{5\pi}{3} \equiv \frac{\pi}{3}$)
Mathematics	Calculus	A circular pool's radius increases at 4 cm/min. How fast is the area increasing when the radius is 5 cm? (nearest cm²/min)	126 cm²/min ($\frac{dA}{dt} = 2\pi r \frac{dr}{dt} = 2\pi(5)(4) = 40\pi \approx 126$)
Mathematics	Statistics	Betty selects one letter from $\{a, c, u, t, e\}$ and one from $\{o, t, u, s, e\}$. What is the probability she selects exactly one vowel? (nearest whole percent)	48% ($\frac{3}{5} \cdot \frac{2}{5} + \frac{2}{5} \cdot \frac{3}{5} = \frac{12}{25} = 48\%$)
Mathematics	Statistics	Betty selects one letter from $\{a, c, u, t, e\}$ and one from $\{o, t, u, s, e\}$. What is the probability she selects at least one vowel? (nearest whole percent)	84% ($1 - P(\text{no vowels}) = 1 - \frac{2}{5} \cdot \frac{2}{5} = \frac{21}{25} = 84\%$)
Mathematics	Statistics	Betty selects one letter from $\{a, c, u, t, e\}$ and one from $\{o, t, u, s, e\}$. Given that a vowel was chosen from the first set, what is the probability both selections are vowels? (nearest whole percent)	60% (conditional: $P(\text{vowel from 2nd set}) = \frac{3}{5} = 60\%$)
Mathematics	Algebra 1	$236_7 + 453_7 - 165_7 = $ _____ (express answer in base 7)	$524_7$ (convert to base 10: $125 + 234 - 96 = 263 = 524_7$)
Mathematics	Algebra 2	Let $P$ and $Q$ be the roots of $4x^2 + 17x = 15$. Find $(P + Q)(PQ)$.	$\dfrac{255}{16} = 15.9375$ (Vieta's formulas: $P+Q = -\tfrac{17}{4}$, $PQ = -\tfrac{15}{4}$)
Mathematics	Pre-Calc	$\begin{bmatrix}-1 & -2 \\ 1 & 3\end{bmatrix} \times \begin{bmatrix}2 & 1 \\ -3 & -4\end{bmatrix} = \begin{bmatrix}a & c \\ b & d\end{bmatrix}$. Find $a + b + c + d$.	$-7$ ($a=4,\ c=7,\ b=-7,\ d=-11$; sum $= 4+7-7-11=-7$)
Mathematics	Algebra 2	Let $f(x) = ax^2 + bx + 5$ where $a$ and $b$ are integers. If $f(1) = 2$ and $f(2) = 3$, find $f(3)$.	8 ($a=2,\ b=-5$; $f(3) = 18-15+5 = 8$)
Mathematics	Algebra 2	Given the Fibonacci-characteristic sequence: $a,\ {-3},\ b,\ {-1},\ c,\ 0,\ d,\ 1,\ \ldots$, find $a + b + c + d$.	9 ($a=5,\ b=2,\ c=1,\ d=1$)
Mathematics	Pre-Calc	Evaluate: $\displaystyle\prod_{n=2}^{6}\left[(-1)^{n-2} - n\right]$	$-360$ (terms: $-1,\ -4,\ -3,\ -6,\ -5$; product $= -360$)
Mathematics	Calculus	Given $f''(x) = 12x - 6$, $f'(0) = 4$, and $f(0) = -5$, find $f(1)$.	$-2$ ($f'(x) = 6x^2-6x+4$; $f(x) = 2x^3-3x^2+4x-5$; $f(1) = 2-3+4-5 = -2$)
Mathematics	Statistics	How many distinct 4-letter code words can be made from the letters in the word ALGEBRA?	480 (A appears twice; cases by number of A's used: 0→120, 1→240, 2→120)
Mathematics	Algebra 1	Find the sum of the first three Mersenne primes such that the sum is prime but not itself a Mersenne prime.	41 (first three Mersenne primes: 3, 7, 31; $3+7+31=41$, which is prime but not Mersenne)
Mathematics	Algebra 1	8,051 is the product of exactly two prime numbers. What is the sum of those two primes?	180 ($8051 = 83 \times 97$; $83 + 97 = 180$)
Mathematics	Algebra 1	Using the Sieve of Eratosthenes, how many primes less than 100 contain the digit 9?	6 (the primes are 19, 29, 59, 79, 89, and 97)
Mathematics	Algebra 2	Which of the following is NOT a function? I. $\{(2,6),(-3,6),(4,9),(2,10)\}$ II. $\{(1,3),(2,3),(3,3),(4,3)\}$ III. $\{(-2,2),(-1,1),(0,0),(1,1)\}$	I only ($x = 2$ maps to both 6 and 10, violating the definition of a function)
Mathematics	Statistics	Let $S = \{7, 11, 18\}$ with arithmetic mean $A$, geometric mean $G$, and harmonic mean $H$. Arrange $A$, $G$, and $H$ from least to greatest.	$H,\ G,\ A$ ($H \approx 10.37$, $G \approx 11.14$, $A = 12$; this is the AM-GM-HM inequality)
Mathematics	Statistics	Les Avridge's quiz grades: 75, 83, 66, 90, 83, 50, 65, 83. Find the average of the arithmetic mean, median, mode, and range of his grades. (nearest whole number)	69 (mean $\approx 74.4$; median $= 79$; mode $= 83$; range $= 40$; average $\approx 69$)
Mathematics	Algebra 2	$f(x) = 2x - 6$ for all reals. $g(x)$ defined for integers $-3 \leq x \leq 3$: $g(-3)=12,\ g(-2)=15,\ g(-1)=16,\ g(0)=15,\ g(1)=12,\ g(2)=7,\ g(3)=0$. Which is true of BOTH functions? (A) Same max domain value (B) Same y-intercept (C) Both odd functions (D) Share an x-intercept (E) None	D — both have an x-intercept at $x = 3$ ($f(3) = 0$ and $g(3) = 0$)
Mathematics	Calculus	Let $f(x) = |x - 5|$. How many of the following statements are always true? (a) $\lim_{x \to 5^+} f(x)$ exists; (b) $\lim_{x \to 5^-} f(x)$ exists; (c) $f(x)$ is continuous; (d) $f(x)$ is differentiable	3 — statements (a), (b), and (c) are true; (d) is false because $|x-5|$ has a corner (non-differentiable point) at $x = 5$
Mathematics	Algebra 1	Darius has a $250 gift card. He spends $128.00 on shoes, $24.95 on a shirt, $33.85 on shorts, and $6.95 on socks. The tax rate is 8.25%. How much is left on the gift card?	$40.27 (total purchases $193.75 × 1.0825 = $209.73; $250 − $209.73 = $40.27)
Mathematics	Algebra 1	Line $\overleftrightarrow{AB}$ passes through $A(8,6)$ and $B(-6,-10)$. If the point $(1, b)$ lies on $\overleftrightarrow{AB}$, then $b =$ _____.	$-2$ (slope $= \frac{-10-6}{-6-8} = \frac{8}{7}$; $b - 6 = \frac{8}{7}(1-8) = -8$; $b = -2$)
Mathematics	Algebra 1	A jar has 264 coins (nickels, dimes, quarters) worth $37.20 total. There are 20 more quarters than nickels. How many dimes are in the jar?	88 dimes (let $n$ = nickels, $q = n+20$, $d = 264-n-(n+20)$; solve $0.05n + 0.10d + 0.25q = 37.20$)
Mathematics	Algebra 1	Which value is NOT in the solution to $3 \leq x + 7 < 12$?	5 (solving gives $-4 \leq x < 5$; $x = 5$ is excluded)
Mathematics	Algebra 2	Samuel solves $x^2 + 10x - 6 = 0$ by completing the square. His second step is $x^2 + 10x + c = 6 + c$. What is the value of $c$?	25 $\left(c = \left(\dfrac{10}{2}\right)^2 = 25\right)$
Mathematics	Geometry	Four times the complement of $\angle A$ is $36°$ greater than the supplement of $\angle A$. Find $m\angle A$.	$48°$ ($4(90-A) = (180-A)+36 \Rightarrow 360-4A = 216-A \Rightarrow A = 48°$)
Mathematics	Geometry	A square pyramid has a base side of 14 cm and height of 10 cm. Find the volume. (nearest whole number)	$653 \text{ cm}^3$ $\left(V = \dfrac{1}{3}(14^2)(10) = \dfrac{1960}{3} \approx 653\right)$
Mathematics	Geometry	A square pyramid has a base side of 14 cm and height of 10 cm. Find the total surface area. (nearest whole number)	$538 \text{ cm}^2$ (slant height $= \sqrt{10^2+7^2} = \sqrt{149} \approx 12.21$; lateral area $= 4 \cdot \frac{1}{2}(14)(12.21) \approx 342$; total $= 196+342 \approx 538$)
Mathematics	Geometry	The volume of a cone is $768\pi \text{ cm}^3$ and the height is 12 cm. What is the diameter of the circular base? (nearest tenth)	$27.7 \text{ cm}$ $\left(r^2 = \dfrac{3V}{\pi h} = \dfrac{3(768\pi)}{12\pi} = 192;\ r \approx 13.86;\ d \approx 27.7\right)$
Mathematics	Geometry	The hypotenuse of an isosceles right triangle is 24.0416. Find the area. (nearest tenth)	$144.5$ (leg $= \dfrac{24.0416}{\sqrt{2}} \approx 17.0$; area $= \dfrac{1}{2}(17)^2 = 144.5$)
Mathematics	Algebra 1	Jen mows 3 large yards in 8 hours. Tom mows 5 large yards in 16 hours. Working together, how long does it take to mow 12 large yards? (nearest minute)	17 hr 27 min (combined rate $= \frac{3}{8}+\frac{5}{16} = \frac{11}{16}$ yards/hr; time $= \frac{12}{\frac{11}{16}} = \frac{192}{11} \approx 17.45$ hr)
Mathematics	Algebra 2	Find the number that is $\dfrac{5}{12}$ of the way from $-3\dfrac{1}{3}$ to $8\dfrac{1}{2}$.	$\dfrac{115}{72}$ (distance $= \frac{71}{6}$; $\frac{5}{12} \cdot \frac{71}{6} = \frac{355}{72}$; start $+ \frac{355}{72} = -\frac{240}{72}+\frac{355}{72} = \frac{115}{72}$)
Mathematics	Pre-Calc	If $f(x) = x^2$, then $\dfrac{f(x+h)-f(x)}{h} =$ _____.	$2x + h$ $\left(\dfrac{(x+h)^2 - x^2}{h} = \dfrac{2xh+h^2}{h} = 2x+h\right)$
Mathematics	Algebra 1	Dad's age is two more than three times Abe's age, and eight more than twice Connie's age. Connie is six years older than Abe. What is the sum of their three ages?	98 ($A=18$, $C=24$, Dad$=56$; sum $=98$)
Mathematics	Geometry	What is the total number of distinct diagonals that can be drawn from the vertices of a regular decagon?	35 $\left(\dfrac{n(n-3)}{2} = \dfrac{10 \cdot 7}{2} = 35\right)$
Mathematics	Pre-Calc	Find the domain of $f(x) = \dfrac{\sqrt{x^2-25}}{|x-6|}$. (A) $(-\infty,-5]\cup[5,\infty)$ (B) $(-\infty,-5)\cup(5,6)\cup(6,\infty)$ (C) $(-\infty,-5)\cup(5,\infty)$ (D) $(-\infty,\infty)$ (E) $(-\infty,-5]\cup[5,6)\cup(6,\infty)$	E) $(-\infty,-5]\cup[5,6)\cup(6,\infty)$ (numerator requires $x^2-25 \geq 0$; denominator requires $x \neq 6$)
Mathematics	Statistics	How many distinguishable permutations can be formed from the letters of MASSACHUSETTS?	64,864,800 (13 letters: M×1, A×2, S×4, C×1, H×1, U×1, E×1, T×2; $\dfrac{13!}{2!\cdot4!\cdot2!} = 64{,}864{,}800$)
Mathematics	Pre-Calc	$\sin(x)\tan\!\left(\dfrac{\pi}{2}-x\right) =$ _____	$\cos(x)$ ($\tan\!\left(\frac{\pi}{2}-x\right) = \cot(x) = \frac{\cos x}{\sin x}$; so $\sin(x) \cdot \frac{\cos x}{\sin x} = \cos x$)
Mathematics	Algebra 2	Consider a geometric sequence where the first term is $22\dfrac{1}{2}$ and the fifth term is $4\dfrac{4}{9}$. What is the seventh term?	$\dfrac{160}{81}$ ($r^4 = \frac{40/9}{45/2} = \frac{16}{81}$; $r^2 = \frac{4}{9}$; seventh term $= \frac{40}{9} \cdot \frac{4}{9} = \frac{160}{81}$)
Mathematics	Algebra 2	The pressure of an ideal gas varies directly with temperature and inversely with volume. Initial state: $P_1=2.0$ atm, $V_1=6.0$ L, $T_1=300$ K. Find the pressure when $V_2=2.0$ L and $T_2=500$ K. (nearest tenth)	10.0 atm $\left(P = k\dfrac{T}{V};\ k = \dfrac{2.0 \cdot 6.0}{300} = 0.04;\ P_2 = \dfrac{0.04 \cdot 500}{2.0} = 10.0\right)$
Mathematics	Algebra 2	A RAV4 Prime purchased for $55{,}200 on July 8, 2022 depreciated exponentially to $51{,}500 by July 8, 2025. What is its expected value on July 8, 2030? (nearest cent)	$45{,}876.20 $\left(k = \dfrac{\ln(51500/55200)}{3};\ V(8) = 55200 \cdot e^{8k} \approx \$45{,}876.20\right)$
Mathematics	Geometry	A baseball diamond is a square with 90 ft sides. The pitcher's mound is 60 ft 6 in from home plate along the home-to-second diagonal. How far is the pitcher's mound from first base? (nearest tenth)	63.7 ft (pitcher at $\left(\frac{60.5}{\sqrt{2}}, \frac{60.5}{\sqrt{2}}\right) \approx (42.78, 42.78)$; distance to first base $(90,0)$: $\sqrt{47.22^2+42.78^2} \approx 63.7$)
Mathematics	Algebra 2	Cash prizes were awarded for 20 places at a peach pie contest: 1st received $500, 2nd received $475, 3rd received $450, and so on. What was the total prize money awarded?	$5{,}250 (arithmetic series: $a_1=500$, $a_{20}=25$; $S_{20} = \frac{20}{2}(500+25) = 5250$)
Mathematics	Statistics	Six couples sit in a 12-seat row at a concert. Each couple must sit together. How many different seating arrangements are possible?	46,080 (6! arrangements of couple-units × $2^6$ within-couple arrangements $= 720 \times 64 = 46{,}080$)
Mathematics	Pre-Calc	The point $(-7, b)$ lies on the curve defined by the parametric equations $x = t-5$, $y = t^2$. Find $b$.	4 ($x=-7 \Rightarrow t-5=-7 \Rightarrow t=-2$; $y=(-2)^2=4$)
Mathematics	Pre-Calc	Convert the rectangular equation $2x - 3y - 5 = 0$ to polar form.	$r = \dfrac{5}{2\cos\theta - 3\sin\theta}$ (substitute $x=r\cos\theta$, $y=r\sin\theta$; solve for $r$)
Mathematics	Geometry	Find the perimeter of the triangle with vertices $(4,-5,6)$, $(3,-2,-1)$, and $(-5,7,-9)$. (nearest tenth)	43.4 ($d_1=\sqrt{59}\approx7.68$; $d_2=\sqrt{209}\approx14.46$; $d_3=\sqrt{450}\approx21.21$; sum $\approx43.4$)
Mathematics	Algebra 2	Three zeros of $f(x) = x^4 + bx^3 + cx^2 + dx + 12$ are $-2,\ 3,\ 1+\sqrt{3}$. Find $f(2)$.	8 (fourth zero is $1-\sqrt{3}$; $f(x) = (x+2)(x-3)(x^2-2x-2)$; $f(2)=(4)(-1)(-2)=8$)
Mathematics	Pre-Calc	Find the period of $f(x) = 3 - 2\cot\!\left(\dfrac{4\pi x}{3} + \dfrac{\pi}{6}\right)$.	$\dfrac{3}{4}$ (period of $\cot(Bx)$ is $\pi/B$; $B = \frac{4\pi}{3}$; period $= \frac{\pi}{4\pi/3} = \frac{3}{4}$)
Mathematics	Pre-Calc	The earth rotates once every 23 hr 56 min 3.72 sec. Find the linear speed of a person on the equator ($r = 3960$ miles). (nearest tenth)	1039.6 mph ($v = \dfrac{2\pi r}{T}$; $T \approx 23.9343$ hr; $v \approx \dfrac{2\pi(3960)}{23.9343} \approx 1039.6$ mph)
Mathematics	Pre-Calc	The graph of $r = 12\cos(8\theta)$ has _____ rose petals.	16 (when the coefficient of $\theta$ is even, the number of petals $= 2 \times 8 = 16$)
Mathematics	Algebra 2	On Jan 1 2020, Lily places $15{,}000$ in Account A at 7% compounded semiannually, and $14{,}500$ in Account B at 7.5% compounded monthly. Which is the earliest listed date that Account B exceeds Account A?	Sept 10, 2025 ($A(t)=15000(1.035)^{2t}$; $B(t)=14500(1.00625)^{12t}$; B overtakes A between July and September 2025)
Mathematics	Calculus	A 50-foot ladder leans against a building. The base is pulled away at 4 ft/sec. How fast is the top sliding down when the base is 14 feet from the wall? (ft/sec)	$\dfrac{7}{6}$ ft/sec ($x^2+y^2=2500$; $y=48$; $\dfrac{dy}{dt} = -\dfrac{x}{y}\cdot\dfrac{dx}{dt} = -\dfrac{14}{48}(4) = -\dfrac{7}{6}$)
Mathematics	Calculus	$f(x) = 3\sin(x) + 2\cos(2x)$. How many values of $x$ in the interval $(6,10)$ give a horizontal tangent?	3 ($f'(x) = \cos(x)(3-8\sin x) = 0$; solutions in $(6,10)$: $x \approx 7.85$ from $\cos x=0$, and $x \approx 6.67$, $x \approx 9.04$ from $\sin x = \frac{3}{8}$)
Mathematics	Calculus	Let $f(x)$ be the solution to $\dfrac{dy}{dx} = \dfrac{x}{2y}$ with $y(4) = 3$. Use Euler's method with 2 equal steps to approximate $y(5)$. (nearest ten-thousandth)	3.6708 ($h=0.5$; $y(4.5) \approx 3 + 0.5\cdot\frac{4}{6} = \frac{10}{3}$; $y(5) \approx \frac{10}{3} + 0.5 \cdot \frac{4.5}{2(10/3)} = \frac{10}{3}+\frac{27}{80} \approx 3.6708$)
Mathematics	Calculus	Let $f(x)$ be the exact solution to $\dfrac{dy}{dx} = \dfrac{x}{2y}$ with $y(4) = 3$. Find $y(5)$. (nearest thousandth)	3.6742 ($2y\,dy = x\,dx \Rightarrow y^2 = \frac{x^2}{2}+C$; $C=1$; $y(5)=\sqrt{\frac{25}{2}+1}=\sqrt{13.5}\approx3.6742$)
Mathematics	Calculus	$P(x)$ is the third-degree Maclaurin polynomial for $f(x) = e^x$. Find $f(0.5) - P(0.5)$. (nearest ten-thousandth)	0.0029 ($P(0.5)=1+0.5+0.125+0.02083=1.64583$; $e^{0.5}\approx1.64872$; difference $\approx0.0029$)
Mathematics	Calculus	The position of a particle is given by $x(t) = 3e^{4t}$ and $y(t) = \ln(t^3+3t-2)$. Find the velocity vector at $t=3$.	$\left\langle 12e^{12},\ \dfrac{15}{17}\right\rangle$ ($\dot{x}=12e^{4t}$; $\dot{y}=\frac{3t^2+3}{t^3+3t-2}$; at $t=3$: $\dot{y}=\frac{30}{34}=\frac{15}{17}$)
Mathematics	Calculus	$h''(x) = x^2(x-2)^3(x-8)^5$. Which of the values $\{0,\ 2,\ 8\}$ are points of inflection of $h(x)$?	2 and 8 only ($x=0$ has even multiplicity — $h''$ doesn't change sign; $x=2$ and $x=8$ have odd multiplicities — sign changes)
Mathematics	Statistics	Phoenix's bowling scores: 166, 172, 154, 205, 221, 198, 144, 172, 188. What is the positive difference between the mean and median?	8 (mean $= 1620/9 = 180$; sorted: 144,154,166,172,172,188,198,205,221; median $= 172$; $|180-172|=8$)
Mathematics	Statistics	Phoenix's bowling scores: 166, 172, 154, 205, 221, 198, 144, 172, 188. Find the interquartile range.	41.5 (sorted: 144,154,166,172,172,188,198,205,221; $Q_1=\frac{154+166}{2}=160$; $Q_3=\frac{198+205}{2}=201.5$; IQR $=41.5$)
Mathematics	Statistics	Alessandra flipped a fair coin 6 times and got heads all 6 times. What is the probability the 7th flip is tails? (nearest ten-thousandth)	0.5000 (coin flips are independent; prior results do not affect the next flip; $P(\text{tails}) = \frac{1}{2}$)
Mathematics	Statistics	Christopher's MS warm-up times vs HS competition scores show a strong negative linear relationship. His coach computed the LSRL. What is the correlation coefficient $r$?	$r = -0.9967$ (computed from data: times $\{12.25, 11.88, 11.36, 10.75, 10.33, 9.91\}$, scores $\{139, 148, 153, 164, 171, 178\}$)
Mathematics	Statistics	Using the LSRL for Christopher's data (MS time vs HS score), predict his score if his MS warm-up time is 9.66 minutes. (nearest whole number)	182 (LSRL: $\hat{y} \approx 337.9 - 16.17x$; at $x=9.66$: $\hat{y} \approx 182$)
Mathematics	Statistics	Find the residual for the data point $(11.88,\ 148)$ in Christopher's MS time vs HS score dataset. (nearest tenth)	2.1 (predicted $\hat{y} \approx 337.9 - 16.17(11.88) \approx 145.9$; residual $= 148 - 145.9 = 2.1$)
Mathematics	Statistics	A researcher tests $H_0: p = 0.62$ vs $H_a: p \neq 0.62$. In a SRS of 1200 Americans, 782 said the economy is their top concern. What is the test statistic? (nearest hundredth)	2.26 ($\hat{p} = \frac{782}{1200} \approx 0.6517$; $z = \frac{0.6517 - 0.62}{\sqrt{(0.62)(0.38)/1200}} \approx \frac{0.0317}{0.01401} \approx 2.26$)
Mathematics	Statistics	A researcher tests $H_0: p = 0.62$ vs $H_a: p \neq 0.62$ with $\alpha = 0.05$. The test statistic is $z \approx 2.26$. What was the researcher's conclusion?	Based on a p-value of 0.02, he rejected $H_0$. (two-tailed: $p\text{-value} = 2P(Z>2.26) \approx 0.024 < 0.05$)
Mathematics	Algebra 1	The kinetic energy formula is $K = \frac{1}{2}mv^2$. Find the mass of an object with $K = 184$ joules and $v = 18.8$ m/s. (nearest hundredth)	1.04 kg $\left(m = \dfrac{2K}{v^2} = \dfrac{2(184)}{18.8^2} = \dfrac{368}{353.44} \approx 1.04\right)$
Mathematics	Algebra 1	A line contains $A(3,8)$ and $B(-4,-6)$. The point $C(a, 14)$ also lies on the line. Find $a$.	6 (slope $= \frac{14}{7} = 2$; $14-8 = 2(a-3) \Rightarrow a = 6$)
Mathematics	Algebra 1	Three consecutive prime numbers sum to 143. Find the product of the three primes.	107,113 (the primes are 43, 47, 53; $43+47+53=143$; $43 \times 47 \times 53 = 107{,}113$)
Mathematics	Geometry	Two chords intersect inside a circle. The measure of minor arc $AB$ is 128° and minor arc $CD$ is 112°. Find $m\angle BEC$.	60° (intersecting chords angle $= \frac{1}{2}(\text{arc}_{BC}+\text{arc}_{AD})$; remaining arcs sum $= 360-128-112=120°$; $\angle BEC = \frac{120}{2} = 60°$)
Mathematics	Algebra 1	The Tubbs family orders a large pizza (3 toppings) and 4 cokes. The Wyatt family orders a large pizza (4 toppings), 5 cokes, and a salad. Large pizza: \$12.00; toppings: \$1.25 each; coke: \$2.25. Total after 8% tax was \$62.37. Find the cost of the salad.	\$4.75 (pre-tax total without salad $= \$24.75 + \$28.25 = \$53.00$; $(\$53+s)(1.08)=\$62.37 \Rightarrow s = \$4.75$)
Mathematics	Algebra 1	Alexis paints a classroom in 8 hr, Skylee in 9 hr, Arthur in 10 hr. Working together, how many hours to paint 40 classrooms? (nearest whole number)	119 hr (combined rate $= \frac{1}{8}+\frac{1}{9}+\frac{1}{10} = \frac{121}{360}$ rooms/hr; time $= 40 \div \frac{121}{360} \approx 119$)
Mathematics	Algebra 1	A student scored 86, 82, 89, and 95 on four tests. The final exam counts twice. What is the minimum final exam score needed for a 89.5 overall average?	93 $\left(\dfrac{352+2f}{6} \geq 89.5 \Rightarrow 2f \geq 185 \Rightarrow f \geq 92.5\right)$
Mathematics	Pre-Calc	A truck drives at 75 mph on a tire with radius 16 inches. What is the rotational speed of the tires? (nearest whole number, in rpm)	788 rpm (linear speed $= 75 \times 5280 \times 12 = 4{,}752{,}000$ in/hr; circumference $= 32\pi$ in; RPM $= \frac{4{,}752{,}000}{32\pi \times 60} \approx 788$)
Mathematics	Geometry	An equilateral triangle has a side length of 14. Find the circumference of a circle with the same area as the triangle. (nearest tenth)	32.7 (triangle area $= \frac{\sqrt{3}}{4}(196) = 49\sqrt{3}$; $\pi r^2 = 49\sqrt{3} \Rightarrow r \approx 5.197$; $C = 2\pi r \approx 32.7$)
